"cantidad(-1)","cantidad(-2)","cantidad(-3)","cantidad(-4)","cantidad(-5)","cantidad(-6)","cantidad(-7)","cantidad(-8)","cantidad(-9)","cantidad(-10)","cantidad(-11)","temperatura_media_media(-1)","temperatura_media_media(-2)","temperatura_media_media(-3)","temperatura_media_media(-4)","temperatura_media_media(-5)","temperatura_media_media(-6)","temperatura_media_media(-7)","temperatura_media_media(-8)","temperatura_media_media(-9)","temperatura_media_media(-10)","temperatura_media_media(-11)","indice(-1)","indice(-2)","indice(-3)","indice(-4)","indice(-5)","indice(-6)","indice(-7)","indice(-8)","indice(-9)","indice(-10)","indice(-11)","humedad_min_media_porc(-1)","humedad_min_media_porc(-2)","humedad_min_media_porc(-3)","humedad_min_media_porc(-4)","humedad_min_media_porc(-5)","humedad_min_media_porc(-6)","humedad_min_media_porc(-7)","humedad_min_media_porc(-8)","humedad_min_media_porc(-9)","humedad_min_media_porc(-10)","humedad_min_media_porc(-11)","humedad_max_media_porc(-1)","humedad_max_media_porc(-2)","humedad_max_media_porc(-3)","humedad_max_media_porc(-4)","humedad_max_media_porc(-5)","humedad_max_media_porc(-6)","humedad_max_media_porc(-7)","humedad_max_media_porc(-8)","humedad_max_media_porc(-9)","humedad_max_media_porc(-10)","humedad_max_media_porc(-11)","lluvia_mm(-1)","lluvia_mm(-2)","lluvia_mm(-3)","lluvia_mm(-4)","lluvia_mm(-5)","lluvia_mm(-6)","lluvia_mm(-7)","lluvia_mm(-8)","lluvia_mm(-9)","lluvia_mm(-10)","lluvia_mm(-11)","humedad_media_media_porc(-1)","humedad_media_media_porc(-2)","humedad_media_media_porc(-3)","humedad_media_media_porc(-4)","humedad_media_media_porc(-5)","humedad_media_media_porc(-6)","humedad_media_media_porc(-7)","humedad_media_media_porc(-8)","humedad_media_media_porc(-9)","humedad_media_media_porc(-10)","humedad_media_media_porc(-11)","temperatura_max_media(-1)","temperatura_max_media(-2)","temperatura_max_media(-3)","temperatura_max_media(-4)","temperatura_max_media(-5)","temperatura_max_media(-6)","temperatura_max_media(-7)","temperatura_max_media(-8)","temperatura_max_media(-9)","temperatura_max_media(-10)","temperatura_max_media(-11)","nivel(-1)","nivel(-2)","nivel(-3)","nivel(-4)","nivel(-5)","nivel(-6)","nivel(-7)","nivel(-8)","nivel(-9)","nivel(-10)","nivel(-11)","cantidad","temperatura_min_media(-1)","temperatura_min_media(-2)","temperatura_min_media(-3)","temperatura_min_media(-4)","temperatura_min_media(-5)","temperatura_min_media(-6)","temperatura_min_media(-7)","temperatura_min_media(-8)","temperatura_min_media(-9)","temperatura_min_media(-10)","temperatura_min_media(-11)"
47,50,19,15,12,8,11,0,3,2,0,26.286,26.286,30.0,27.143,28.857,25.857,26.286,26.857,25.714,28.0,26.0,0.016,0.017,0.018,0.02,0.021,0.022,0.024,0.021,0.142,0.018,0.018,31.857,36.0,34.429,48.429,43.0,46.857,48.571,40.429,39.571,38.857,20.714,89.571,91.714,73.571,85.286,81.714,91.143,91.857,91.0,80.857,87.571,64.0,0.0,20.0,0.3,0.6,0.0,17.0,50.0,24.4,16.0,15.5,0.0,62.286,66.0,54.286,66.571,61.0,71.143,70.286,67.429,57.0,65.0,39.857,33.286,31.857,36.0,31.857,34.429,31.143,33.0,33.857,31.286,34.286,33.286,1.31,1.54,1.52,1.58,1.62,1.44,1.2,1.33,1.06,0.86,0.8,29,19.429,20.714,24.286,22.857,24.143,21.143,20.714,21.0,20.571,21.714,18.714
29,47,50,19,15,12,8,11,0,3,2,28.143,26.286,26.286,30.0,27.143,28.857,25.857,26.286,26.857,25.714,28.0,0.014,0.016,0.017,0.018,0.02,0.021,0.022,0.024,0.021,0.142,0.018,34.143,31.857,36.0,34.429,48.429,43.0,46.857,48.571,40.429,39.571,38.857,92.429,89.571,91.714,73.571,85.286,81.714,91.143,91.857,91.0,80.857,87.571,1.1,0.0,20.0,0.3,0.6,0.0,17.0,50.0,24.4,16.0,15.5,67.429,62.286,66.0,54.286,66.571,61.0,71.143,70.286,67.429,57.0,65.0,34.857,33.286,31.857,36.0,31.857,34.429,31.143,33.0,33.857,31.286,34.286,1.24,1.31,1.54,1.52,1.58,1.62,1.44,1.2,1.33,1.06,0.86,27,21.286,19.429,20.714,24.286,22.857,24.143,21.143,20.714,21.0,20.571,21.714
27,29,47,50,19,15,12,8,11,0,3,28.143,28.143,26.286,26.286,30.0,27.143,28.857,25.857,26.286,26.857,25.714,0.013,0.014,0.016,0.017,0.018,0.02,0.021,0.022,0.024,0.021,0.142,33.286,34.143,31.857,36.0,34.429,48.429,43.0,46.857,48.571,40.429,39.571,87.429,92.429,89.571,91.714,73.571,85.286,81.714,91.143,91.857,91.0,80.857,3.8,1.1,0.0,20.0,0.3,0.6,0.0,17.0,50.0,24.4,16.0,61.286,67.429,62.286,66.0,54.286,66.571,61.0,71.143,70.286,67.429,57.0,35.571,34.857,33.286,31.857,36.0,31.857,34.429,31.143,33.0,33.857,31.286,1.25,1.24,1.31,1.54,1.52,1.58,1.62,1.44,1.2,1.33,1.06,30,21.143,21.286,19.429,20.714,24.286,22.857,24.143,21.143,20.714,21.0,20.571
30,27,29,47,50,19,15,12,8,11,0,24.286,28.143,28.143,26.286,26.286,30.0,27.143,28.857,25.857,26.286,26.857,0.012,0.013,0.014,0.016,0.017,0.018,0.02,0.021,0.022,0.024,0.021,32.429,33.286,34.143,31.857,36.0,34.429,48.429,43.0,46.857,48.571,40.429,93.143,87.429,92.429,89.571,91.714,73.571,85.286,81.714,91.143,91.857,91.0,0.0,3.8,1.1,0.0,20.0,0.3,0.6,0.0,17.0,50.0,24.4,64.286,61.286,67.429,62.286,66.0,54.286,66.571,61.0,71.143,70.286,67.429,31.0,35.571,34.857,33.286,31.857,36.0,31.857,34.429,31.143,33.0,33.857,1.28,1.25,1.24,1.31,1.54,1.52,1.58,1.62,1.44,1.2,1.33,60,17.429,21.143,21.286,19.429,20.714,24.286,22.857,24.143,21.143,20.714,21.0
60,30,27,29,47,50,19,15,12,8,11,25.714,24.286,28.143,28.143,26.286,26.286,30.0,27.143,28.857,25.857,26.286,0.01,0.012,0.013,0.014,0.016,0.017,0.018,0.02,0.021,0.022,0.024,19.857,32.429,33.286,34.143,31.857,36.0,34.429,48.429,43.0,46.857,48.571,80.857,93.143,87.429,92.429,89.571,91.714,73.571,85.286,81.714,91.143,91.857,0.0,0.0,3.8,1.1,0.0,20.0,0.3,0.6,0.0,17.0,50.0,51.286,64.286,61.286,67.429,62.286,66.0,54.286,66.571,61.0,71.143,70.286,34.429,31.0,35.571,34.857,33.286,31.857,36.0,31.857,34.429,31.143,33.0,1.18,1.28,1.25,1.24,1.31,1.54,1.52,1.58,1.62,1.44,1.2,79,16.714,17.429,21.143,21.286,19.429,20.714,24.286,22.857,24.143,21.143,20.714
79,60,30,27,29,47,50,19,15,12,8,23.857,25.714,24.286,28.143,28.143,26.286,26.286,30.0,27.143,28.857,25.857,0.009,0.01,0.012,0.013,0.014,0.016,0.017,0.018,0.02,0.021,0.022,39.0,19.857,32.429,33.286,34.143,31.857,36.0,34.429,48.429,43.0,46.857,89.286,80.857,93.143,87.429,92.429,89.571,91.714,73.571,85.286,81.714,91.143,0.0,0.0,0.0,3.8,1.1,0.0,20.0,0.3,0.6,0.0,17.0,64.286,51.286,64.286,61.286,67.429,62.286,66.0,54.286,66.571,61.0,71.143,29.286,34.429,31.0,35.571,34.857,33.286,31.857,36.0,31.857,34.429,31.143,1.08,1.18,1.28,1.25,1.24,1.31,1.54,1.52,1.58,1.62,1.44,76,17.714,16.714,17.429,21.143,21.286,19.429,20.714,24.286,22.857,24.143,21.143
76,79,60,30,27,29,47,50,19,15,12,23.25,23.857,25.714,24.286,28.143,28.143,26.286,26.286,30.0,27.143,28.857,0.008,0.009,0.01,0.012,0.013,0.014,0.016,0.017,0.018,0.02,0.021,30.8,39.0,19.857,32.429,33.286,34.143,31.857,36.0,34.429,48.429,43.0,82.4,89.286,80.857,93.143,87.429,92.429,89.571,91.714,73.571,85.286,81.714,0.0,0.0,0.0,0.0,3.8,1.1,0.0,20.0,0.3,0.6,0.0,57.0,64.286,51.286,64.286,61.286,67.429,62.286,66.0,54.286,66.571,61.0,29.0,29.286,34.429,31.0,35.571,34.857,33.286,31.857,36.0,31.857,34.429,1.04,1.08,1.18,1.28,1.25,1.24,1.31,1.54,1.52,1.58,1.62,58,16.2,17.714,16.714,17.429,21.143,21.286,19.429,20.714,24.286,22.857,24.143
58,76,79,60,30,27,29,47,50,19,15,21.857,23.25,23.857,25.714,24.286,28.143,28.143,26.286,26.286,30.0,27.143,0.006,0.008,0.009,0.01,0.012,0.013,0.014,0.016,0.017,0.018,0.02,38.714,30.8,39.0,19.857,32.429,33.286,34.143,31.857,36.0,34.429,48.429,94.286,82.4,89.286,80.857,93.143,87.429,92.429,89.571,91.714,73.571,85.286,30.0,0.0,0.0,0.0,0.0,3.8,1.1,0.0,20.0,0.3,0.6,68.571,57.0,64.286,51.286,64.286,61.286,67.429,62.286,66.0,54.286,66.571,28.143,29.0,29.286,34.429,31.0,35.571,34.857,33.286,31.857,36.0,31.857,1.02,1.04,1.08,1.18,1.28,1.25,1.24,1.31,1.54,1.52,1.58,84,15.429,16.2,17.714,16.714,17.429,21.143,21.286,19.429,20.714,24.286,22.857
84,58,76,79,60,30,27,29,47,50,19,21.0,21.857,23.25,23.857,25.714,24.286,28.143,28.143,26.286,26.286,30.0,0.012,0.006,0.008,0.009,0.01,0.012,0.013,0.014,0.016,0.017,0.018,54.714,38.714,30.8,39.0,19.857,32.429,33.286,34.143,31.857,36.0,34.429,94.0,94.286,82.4,89.286,80.857,93.143,87.429,92.429,89.571,91.714,73.571,51.7,30.0,0.0,0.0,0.0,0.0,3.8,1.1,0.0,20.0,0.3,78.429,68.571,57.0,64.286,51.286,64.286,61.286,67.429,62.286,66.0,54.286,26.143,28.143,29.0,29.286,34.429,31.0,35.571,34.857,33.286,31.857,36.0,1.3,1.02,1.04,1.08,1.18,1.28,1.25,1.24,1.31,1.54,1.52,73,15.714,15.429,16.2,17.714,16.714,17.429,21.143,21.286,19.429,20.714,24.286
73,84,58,76,79,60,30,27,29,47,50,23.0,21.0,21.857,23.25,23.857,25.714,24.286,28.143,28.143,26.286,26.286,0.012,0.012,0.006,0.008,0.009,0.01,0.012,0.013,0.014,0.016,0.017,45.143,54.714,38.714,30.8,39.0,19.857,32.429,33.286,34.143,31.857,36.0,91.571,94.0,94.286,82.4,89.286,80.857,93.143,87.429,92.429,89.571,91.714,17.1,51.7,30.0,0.0,0.0,0.0,0.0,3.8,1.1,0.0,20.0,68.286,78.429,68.571,57.0,64.286,51.286,64.286,61.286,67.429,62.286,66.0,27.714,26.143,28.143,29.0,29.286,34.429,31.0,35.571,34.857,33.286,31.857,1.32,1.3,1.02,1.04,1.08,1.18,1.28,1.25,1.24,1.31,1.54,54,18.286,15.714,15.429,16.2,17.714,16.714,17.429,21.143,21.286,19.429,20.714
